Location,Upload time,Download time,Ping #0,Ping #1,Ping #2,Ping #3,Ping #4,Ping #5,Ping #6,Ping #7,Ping #8,Ping #9,Eduroam f0:25:72:7d:94:91,UC-Secure f0:25:72:7d:94:91,Eduroam 00:1e:f7:75:91:82,UC-Secure 00:1e:f7:75:91:82,Eduroam 00:26:cb:42:b9:51,UC-Secure 00:26:cb:42:b9:51,Eduroam 08:cc:68:db:ea:11,UC-Secure 08:cc:68:db:ea:11,Eduroam 08:cc:68:db:ea:12,UC-Secure 08:cc:68:db:ea:12,Eduroam 00:1e:f7:75:91:81,UC-Secure 00:1e:f7:75:91:81,Eduroam f0:25:72:3c:10:ee,UC-Secure f0:25:72:3c:10:ee,Eduroam f0:25:72:3c:10:ed,UC-Secure f0:25:72:3c:10:ed,Eduroam 34:bd:c8:db:45:52,UC-Secure 34:bd:c8:db:45:52,Eduroam 34:bd:c8:db:45:51,UC-Secure 34:bd:c8:db:45:51,Eduroam 3c:ce:73:49:52:1e,UC-Secure 3c:ce:73:49:52:1e,Eduroam b8:62:1f:41:8e:e2,UC-Secure b8:62:1f:41:8e:e2,Eduroam 24:b6:57:f8:be:72,UC-Secure 24:b6:57:f8:be:72,Eduroam 24:b6:57:f8:be:71,UC-Secure 24:b6:57:f8:be:71,Eduroam d8:24:bd:a0:0a:de,UC-Secure d8:24:bd:a0:0a:de,Eduroam d8:24:bd:a0:0a:dd,UC-Secure d8:24:bd:a0:0a:dd,Eduroam 3c:ce:73:57:1c:7d,UC-Secure 3c:ce:73:57:1c:7d,Eduroam 3c:ce:73:57:1c:7e,UC-Secure 3c:ce:73:57:1c:7e,Eduroam 00:26:cb:42:b9:52,UC-Secure 00:26:cb:42:b9:52,Eduroam b8:62:1f:7c:97:52,UC-Secure b8:62:1f:7c:97:52,Eduroam b8:62:1f:7c:97:51,UC-Secure b8:62:1f:7c:97:51,Eduroam 3c:ce:73:49:52:11,UC-Secure 3c:ce:73:49:52:11,Eduroam 0c:27:24:92:63:a1,UC-Secure 0c:27:24:92:63:a1,Eduroam 00:26:99:50:8e:3d,UC-Secure 00:26:99:50:8e:3d,Eduroam 00:26:99:50:8e:3e,UC-Secure 00:26:99:50:8e:3e,Eduroam f0:25:72:7d:94:92,UC-Secure f0:25:72:7d:94:92,Eduroam 0c:27:24:92:63:a2,UC-Secure 0c:27:24:92:63:a2,Eduroam 3c:ce:73:49:52:12,UC-Secure 3c:ce:73:49:52:12,Eduroam 34:bd:c8:db:45:5e,UC-Secure 34:bd:c8:db:45:5e,Eduroam 34:bd:c8:db:45:5d,UC-Secure 34:bd:c8:db:45:5d,Eduroam 24:b6:57:f8:be:7e,UC-Secure 24:b6:57:f8:be:7e,Eduroam 24:b6:57:f8:be:7d,UC-Secure 24:b6:57:f8:be:7d,Eduroam f0:25:72:7d:db:d2,UC-Secure f0:25:72:7d:db:d2,Eduroam 00:1e:f7:75:91:8d,UC-Secure 00:1e:f7:75:91:8d,Eduroam 00:1e:f7:75:91:8e,UC-Secure 00:1e:f7:75:91:8e,Eduroam dc:a5:f4:ec:b7:b1,UC-Secure dc:a5:f4:ec:b7:b1,Eduroam f0:25:72:3c:10:e2,UC-Secure f0:25:72:3c:10:e2,Eduroam f0:25:72:3c:10:e1,UC-Secure f0:25:72:3c:10:e1,Eduroam 00:26:99:50:8e:31,UC-Secure 00:26:99:50:8e:31,Eduroam 00:26:99:50:8e:32,UC-Secure 00:26:99:50:8e:32,Eduroam dc:a5:f4:ec:b7:b2,UC-Secure dc:a5:f4:ec:b7:b2,Eduroam 3c:ce:73:49:52:1d,UC-Secure 3c:ce:73:49:52:1d,Eduroam 3c:ce:73:57:1c:72,UC-Secure 3c:ce:73:57:1c:72,Eduroam 3c:ce:73:57:1c:71,UC-Secure 3c:ce:73:57:1c:71,Eduroam d8:24:bd:a0:0a:d2,UC-Secure d8:24:bd:a0:0a:d2,Eduroam d8:24:bd:a0:0a:d1,UC-Secure d8:24:bd:a0:0a:d1,Eduroam e8:ed:f3:10:51:f1,UC-Secure e8:ed:f3:10:51:f1,Eduroam b8:62:1f:7c:97:5e,UC-Secure b8:62:1f:7c:97:5e,Eduroam b8:62:1f:7c:97:5d,UC-Secure b8:62:1f:7c:97:5d
155,0m9.866s,0m8.475s,4.637,3.934,5.049,3.774,2.964,3.604,4.481,4.487,1.639,4.012,,,,,,,,,,,,,,-87,-88,,-71,,,-62,,-77,,,-85,,,,,-58,-57,,-86,,,-87,,,,,,,,-76,,,-55,,,-55,,,,,-75,,,-74,-74,,,,,,,,,,,,,,-79,,,-80,,-60,-61,,,,-77,,,,,-79,-61,,,-61,,,,,,
152b,0m4.945s,0m4.891s,0.964,6.048,3.746,1.312,1.319,1.394,3.649,3.760,1.280,3.733,,,,,,,,,,,,,,,,,-68,,,-72,,,,,,,,,,-55,-55,,,,,,,,,,,,,,,,-71,,,-72,,,,,,,,-72,-72,,,,,,,,,,,,,,,,,,,-69,-67,,,,-87,,,,,,-68,,,-68,,,,,,
155a,0m7.266s,0m6.396s,1.397,1.509,1.665,1.321,3.652,1.421,3.893,5.608,3.741,1.573,,,,,,,,-85,,,,,,,,,-82,,,-83,,-80,,,,,,-87,,-73,-73,,,,,,,,,,,-87,,-74,,,-72,,,-72,,,,,-75,,,-87,,,,,,,,,,,,,,,,,,,,-68,-67,,,,-80,,,,,,,,,-75,,,,,,
157,0m6.368s,0m5.707s,3.533,4.292,3.792,3.713,3.696,3.739,3.733,1.410,3.741,4.929,,,,,,,,,,,,,,,,,-88,,,-88,,-55,,,-75,,,-73,,,,,,,,,,,,,,,,-51,,,-66,,,-67,,,,,-51,,,,,,,-85,-84,,-82,,,,,,,,,,,,,-63,-74,,,,-55,,,,,-81,-82,,,-85,,,,,,
frontdoor,0m13.350s,0m10.075s,2.080,4.735,1.448,1.449,1.106,3.950,9.529,3.361,5.381,1.318,,-85,,,,,,,,,,,,-85,,,,,,-89,,-82,,,-71,,,-71,,,,,-70,,,-70,,,,,,-86,,-83,,,,,,-79,,,,,-84,,,,,,,-85,-84,,,,,,,,,,-82,,,-80,,-82,-82,,,,,,-59,,,-59,,,,,,,,,,
center,0m7.222s,0m12.187s,3.660,1.320,1.795,1.319,4.679,5.325,3.827,3.837,4.457,3.726,,,,,,-77,,,,,,,,-78,-77,,-86,,,-86,,-87,,,-64,,,-64,,,,,-73,,,-73,-79,,-85,,,-86,,-71,,,-71,,,-70,,,,,-71,,,,,,,-76,-76,,,,,,,,,,-82,,,-80,,-55,-68,,,,,,-53,,,-53,-87,,,,,,,,,
161b,0m7.124s,0m6.769s,3.641,1.378,3.875,5.342,1.693,5.212,4.727,3.796,11.797,10.115,,,,,,,,,,,,,,-83,-82,,,,,,,,-79,,-63,,,-63,,,,,-79,,,-79,,,-84,,,-84,,-84,,,,,,,,,,,-85,,,,,,,-83,-82,,,,,,,,,,-69,,,-69,,,-81,,,,,,-55,,,-55,,,,,,,,,,
outside162c,0m5.215s,0m5.405s,0.976,1.018,1.468,3.775,1.376,1.400,1.405,3.991,3.681,1.334,,,,,,,,,,,,,,-67,-66,,,,,,,,,,,,,-89,,,,,,,,-86,,,-88,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,,,,,,,,,-69,,,-69,,,,,,-88,,,,
outside163,0m4.582s,0m4.452s,1.177,3.582,3.948,3.691,1.368,3.878,3.498,3.568,4.033,3.866,,-79,,,,-80,,,,,,,,-58,-57,,,,,,,,,,,,,-89,,,,,-69,,,-70,-84,,-88,,,,,-85,,,-80,,,,-79,,,,,,,,,,,,,,,,,,,,,,-46,,,-46,,,,,,,,,-69,,,-69,,,,,,,,,,
165b,0m4.656s,0m7.924s,3.416,4.344,1.093,3.837,3.980,3.760,3.650,3.707,4.199,1.328,,-85,,,,-80,,,,,,,,-63,-63,,,,,,,,,,-89,,,-87,,,,,-70,,,-70,-84,,,,,,,-85,,,-80,,,,-86,,,,,,,,,,,,,,,,,,,,,,-59,,,-59,,,,,,,,,-59,,,-59,,,,,,,,,,
165,0m12.842s,0m8.575s,1.263,3.455,3.533,1.829,1.828,1.520,10.637,1.468,5.219,2.084,,,,,,-80,,,,,,,,-72,-71,,,,,,,,,,,,,,,,,,-71,,,-71,-76,,,,,,,,,-76,,,,,,,-74,,,,,,,,,,,,,,,,,,,,-62,,,-61,,,,,,,,,-63,,,-63,,,,,,,,,,
outside160b,0m7.505s,0m10.899s,2.633,6.286,3.716,6.058,5.950,3.874,3.777,14.849,3.610,5.111,,,-77,,,,,-85,-87,,,-77,,,,,,,,,,,,,-55,,,-56,,,,,,,,,,,-75,,,-75,,-78,,,,,,-84,,,,,,,,,,,,-69,-69,,,,,,,,,,,,,,,-78,-83,,,,,,-72,,,-72,,,,,,,,,,
outside175,0m33.322s,0m18.735s,1.483,4.516,4.411,6.056,1.786,4.446,10.027,3.733,3.659,3.801,,,-57,,,,,-78,-82,,,-62,,,,,,,,,,,,,-78,,,-78,,,,,,,,,,,-58,,,-58,,-80,,,,,,,,,,,-80,,,,,,,,,,,,-78,,,-78,,,,,,,,,,,,,,,,,,,,,,,,,,-74,-74,
175farwall,0m25.182s,0m17.734s,3.605,4.460,3.795,3.743,4.376,4.298,3.751,2.738,3.779,3.824,,,-54,,,,,-87,-85,,,-52,,,,,,,,,,,,,-78,,,-79,,,,,,,,,,,-69,,,-67,,-71,,,,,,,,,,,-71,,,,,,,,,,,,-73,,,-73,,-86,,,,,,-82,,,-87,,,,,,,,,,,,,,,,,
177farcorner,0m26.242s,0m18.869s,3.755,0.998,1.236,1.421,3.778,1.568,1.623,4.376,4.203,3.740,,,-47,,,,,,,,,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,-71,,,-71,,,,,,,,,,,,,,,,,,,,,,,,,-59,,,-59,,,,,,,,,,,,,,,,,,,,,,,,,,-85,-85,
