Location,Upload time,Download time,Ping #0,Ping #1,Ping #2,Ping #3,Ping #4,Ping #5,Ping #6,Ping #7,Ping #8,Ping #9,Eduroam f0:25:72:7d:db:dd,UC-Secure f0:25:72:7d:db:dd,Eduroam 08:cc:68:db:ea:11,UC-Secure 08:cc:68:db:ea:11,Eduroam 08:cc:68:db:ea:12,UC-Secure 08:cc:68:db:ea:12,Eduroam f0:25:72:3c:10:ee,UC-Secure f0:25:72:3c:10:ee,Eduroam f0:25:72:3c:10:ed,UC-Secure f0:25:72:3c:10:ed,Eduroam 34:bd:c8:db:45:52,UC-Secure 34:bd:c8:db:45:52,Eduroam 34:bd:c8:db:45:51,UC-Secure 34:bd:c8:db:45:51,Eduroam 3c:ce:73:49:52:1e,UC-Secure 3c:ce:73:49:52:1e,Eduroam b8:62:1f:41:8e:e2,UC-Secure b8:62:1f:41:8e:e2,Eduroam b8:62:1f:41:8e:e1,UC-Secure b8:62:1f:41:8e:e1,Eduroam 00:26:99:4f:f1:f1,UC-Secure 00:26:99:4f:f1:f1,Eduroam 24:b6:57:f8:be:72,UC-Secure 24:b6:57:f8:be:72,Eduroam 00:26:99:4f:f1:f2,UC-Secure 00:26:99:4f:f1:f2,Eduroam 24:b6:57:f8:be:71,UC-Secure 24:b6:57:f8:be:71,Eduroam c4:0a:cb:df:48:b2,UC-Secure c4:0a:cb:df:48:b2,Eduroam f0:25:72:7d:db:de,UC-Secure f0:25:72:7d:db:de,Eduroam d8:24:bd:a0:0a:de,UC-Secure d8:24:bd:a0:0a:de,Eduroam d8:24:bd:a0:0a:dd,UC-Secure d8:24:bd:a0:0a:dd,Eduroam b8:62:1f:7c:97:52,UC-Secure b8:62:1f:7c:97:52,Eduroam b8:62:1f:7c:97:51,UC-Secure b8:62:1f:7c:97:51,Eduroam 0c:27:24:92:63:a1,UC-Secure 0c:27:24:92:63:a1,Eduroam c4:0a:cb:df:48:b1,UC-Secure c4:0a:cb:df:48:b1,Eduroam f0:25:72:7d:94:91,UC-Secure f0:25:72:7d:94:91,Eduroam f0:25:72:7d:94:92,UC-Secure f0:25:72:7d:94:92,Eduroam 0c:27:24:92:63:a2,UC-Secure 0c:27:24:92:63:a2,Eduroam 3c:ce:73:49:52:12,UC-Secure 3c:ce:73:49:52:12,Eduroam 3c:ce:73:49:52:11,UC-Secure 3c:ce:73:49:52:11,Eduroam e8:04:62:76:de:91,UC-Secure e8:04:62:76:de:91,Eduroam 24:b6:57:f8:be:7e,UC-Secure 24:b6:57:f8:be:7e,Eduroam 24:b6:57:f8:be:7d,UC-Secure 24:b6:57:f8:be:7d,Eduroam 08:cc:68:db:ea:1d,UC-Secure 08:cc:68:db:ea:1d,Eduroam f0:25:72:7d:db:d1,UC-Secure f0:25:72:7d:db:d1,Eduroam f0:25:72:7d:db:d2,UC-Secure f0:25:72:7d:db:d2,Eduroam f0:25:72:3c:10:e2,UC-Secure f0:25:72:3c:10:e2,Eduroam f0:25:72:3c:10:e1,UC-Secure f0:25:72:3c:10:e1,Eduroam f0:25:72:7d:94:9d,UC-Secure f0:25:72:7d:94:9d,Eduroam f0:25:72:7d:94:9e,UC-Secure f0:25:72:7d:94:9e,Eduroam 3c:ce:73:49:52:1d,UC-Secure 3c:ce:73:49:52:1d,Eduroam 3c:ce:73:57:1c:72,UC-Secure 3c:ce:73:57:1c:72,Eduroam 3c:ce:73:57:1c:71,UC-Secure 3c:ce:73:57:1c:71
404farcorner,0m5.896s,0m7.821s,3.591,5.745,6.076,4.172,9.920,4.921,5.885,4.545,4.023,3.224,-46,,,-77,-76,,,,,,-83,,,-82,,-76,,,,,,,,,,,,-83,,,,-46,,,,,,,,,,,,,,,-67,,,,,,,,,-88,,,,,-81,,,-46,-45,,-81,,,-83,-81,,,,-77,,,,,
404nearpillar,0m5.540s,0m6.216s,6.755,4.854,3.751,4.139,6.704,4.680,1.946,2.408,4.062,4.067,-52,,,-79,-79,,,,,,-87,,,-86,,-68,,,,,,,,,,,,-83,,,,-51,,,,,,,,,,,,,,-58,-58,,,,,,,,,-88,,,,,-85,,,-49,-49,,-81,,,-82,-76,,,-76,-68,,,,,
405,0m5.710s,0m10.199s,2.125,4.306,12.643,9.751,5.373,10.849,6.436,3.786,5.004,4.845,-48,,,-75,-75,,,,,,-70,,,-75,,-81,,,,,,,-81,,-89,,,,,,,-48,,-76,-76,,,,,,,,,,,-58,-74,,,,-68,,,-70,,,,,,,-85,,,-50,-50,,-85,,,-82,-76,,,-76,-81,,,,,
403middle,0m6.341s,0m10.451s,2.565,1.703,6.728,2.162,2.247,2.150,1.906,2.479,4.236,24.999,-57,,,-78,-78,,,,,,-85,,,,,,-87,,,-86,,-85,-64,,-84,,,-64,,,,-57,,,,,,,,,,,,,,-56,-56,,,,-72,,,-72,,,,-84,-84,,,,,-59,-59,,-82,,,-81,-70,,,-70,,,,,,
403box10,0m6.943s,0m13.360s,1.193,1.352,2.290,1.770,2.147,1.899,1.451,1.708,4.802,1.880,-66,,,-79,-79,,,,,,,,,,,,,,,,,,-63,,,,,-63,,,,-66,,,,,-84,,,-84,,,,,,-58,-57,,,,-69,,,-69,,,,-84,-84,,,,,-68,-68,,-78,,,-77,-74,,,-74,,,,,,
403box13,0m11.953s,0m15.017s,116.466,37.024,101.875,7.469,2.383,1.597,2.442,6.005,2.303,4.177,-68,,,-84,-84,,,,,,,,,,,,-88,,,-89,,,-69,,,,,-69,,,,-68,,,,,-83,,,-82,,,,,,-62,-62,,,,-72,,,-72,,,,-84,-84,,,,,-66,-64,,-84,,,-83,-72,,,-72,,,,,,
403box18,0m12.738s,0m13.737s,4.252,3.980,1.780,1.766,5.354,24.056,3.030,3.016,3.311,7.920,-67,,,-79,-79,,,,,,,,,,,,-88,,,-88,,,-68,,,,,-69,,,,-67,,,,,-79,,,-79,,,,,,-69,-69,,,,-78,,,-72,,,,-87,-84,,,,,-68,-69,,-83,,,-84,-81,,,-81,,,,,,
403box6,0m9.145s,0m11.120s,2.281,2.614,1.767,4.464,4.624,1.783,1.289,0.929,2.159,3.630,-70,,,-75,-76,,,,,,,,,,,,,,,,,,-70,,,,,-70,,,,-70,,,,,-84,,,-83,,,,,,-62,-62,,,,-75,,,-75,,,,,,,,,,-69,-69,,,,,-76,-73,,,-73,,,,,,-83
402box1,0m5.554s,0m4.510s,0.986,3.569,1.426,3.711,1.384,3.507,3.711,3.816,3.501,3.707,-79,,,-81,-82,,,-83,,,,,,,,,,,,,,,-73,,,,,-73,,,,-80,,,,,-84,,,-83,,,,,,-51,-50,,,,-80,,,-82,,,,,,,,,,-75,-75,,-69,,,-68,-59,,,-59,,,,,,-83
402box7,0m4.653s,0m4.514s,1.089,3.618,3.625,1.435,4.022,4.661,3.719,3.745,1.333,3.642,-85,,,-81,-82,,,-87,-85,,,,,,,,,,,,,,-77,,,,,-77,,,,-86,,,,,,,,,,,,,,-50,-51,,,,-80,,,-82,,,,,,,,,,-75,-75,,-66,,,-66,-50,,,-50,,,,,,
402box9,0m4.565s,0m4.504s,3.583,1.397,3.772,3.677,3.770,3.745,1.512,3.852,3.724,3.835,-83,,,,,,,-79,-78,,,,,,,,,,,,,,-75,,,,,-76,,,,-83,,,,,,,,,,,,,,-30,-29,,,,,,,,,,,,,,,,,-75,-75,,-61,,,-61,-49,,,-49,,,-75,,,-75
402box15,0m4.764s,0m4.651s,3.473,4.247,3.027,3.737,3.663,3.787,3.696,3.623,3.746,5.835,-84,,,-78,-79,,,-85,-84,,,,,,,,,,,,,,-77,,,,,-76,,,,-82,,,,,,,,,,,,,,-44,-45,,,,,,,,,,,,,,,,,-74,-75,,-72,,,-73,-68,,,-68,,,-79,,,-79
outside401,0m4.552s,0m4.451s,3.503,3.709,3.715,3.713,4.267,3.687,3.603,3.773,3.727,3.676,-84,,,-82,-79,,,-73,-72,,,,,,,,,,,,,,-79,,,,,-79,,,,-84,,,,,,,,,,,,,,-42,-42,,,,,,,,,,,,,,,,,-77,-77,,-57,,,-57,-54,,,-53,,,-79,,,-83
401rightside,0m4.735s,0m5.668s,1.129,5.578,3.393,1.390,3.838,4.331,3.652,4.109,3.756,-84,,,-71,-74,,,-76,-76,,,,,,,,-84,,,-83,,,-79,,,,,-79,-86,,,-84,,,,,,,,,,-83,,-87,,-56,-42,,,,,,,,,,,,,,,,,-77,-77,,-59,,,-59,-72,,,-72,,,,,,-83
